국가명,진출 자격,진출 자격 획득일,진출횟수,최근 출전,최고성적,FIFA 랭킹,대륙
이란,최종예선 A조 1위,2017년 06월 13일,5회,2014,조별리그,32위,아시아
일본,최종예선 B조 1위,2017년 08월 31일,6회,2014,16강,61위,아시아
대한민국,최종예선 A조 2위,2017년 09월 05일,10회,2014,4위,57위,아시아
사우디아라비아,최종예선 B조 2위,2017년 09월 05일,5회,2006,16강,63위,아시아
호주,대륙 플레이오프 승리,2017년 11월 15일,5회,2014,16강,39위,아시아
튀니지,최종예선 A조 1위,2017년 11월 12일,5회,2006,조별리그,27위,아프리카
나이지리아,최종예선 B조 1위,2017년 10월 07일,6회,2014,16강,50위,아프리카
모로코,최종예선 C조 1위,2017년 11월 12일,5회,1998,16강,40위,아프리카
세네갈,최종예선 D조 1위,2017년 11월 11일,2회,2002,8강,23위,아프리카
이집트,최종예선 E조 1위,2017년 10월 08일,3회,1990,16강,31위,아프리카
멕시코,최종예선 1위,2017년 09월 02일,16회,2014,8강,16위,북중미-카리브
코스타리카,최종예선 2위,2017년 10월 07일,5회,2014,8강,26위,북중미-카리브
파나마,최종예선 3위,2017년 10월 10일,1회,첫 출전,-,56위,북중미-카리브
브라질,예선 1위,2017년 03월 28일,21회,2014,우승,2위,남미
우루과이,예선 2위,2017년 10월 10일,13회,2014,우승,21위,남미
아르헨티나,예선 3위,2017년 10월 10일,17회,2014,우승,4위,남미
콜롬비아,예선 4위,2017년 10월 10일,6회,2014,8강,13위,남미
페루,대륙 플레이오프 승리,2017년 11월 16일,5회,1982,8강,11위,남미
러시아,개최국 자동 진출,2010년 12월 02일,11회,2014,4위,65위,유럽
프랑스,예선 A조 1위,2017년 10월 10일,15회,2014,우승,9위,유럽
포르투갈,예선 B조 1위,2017년 10월 10일,7회,2014,3위,3위,유럽
독일,예선 C조 1위,2017년 10월 05일,19회,2014,우승,1위,유럽
세르비아,예선 D조 1위,2017년 10월 09일,12회,2010,4위,37위,유럽
폴란드,예선 E조 1위,2017년 10월 08일,8회,2006,3위,7위,유럽
잉글랜드,예선 F조 1위,2017년 10월 05일,15회,2014,우승,15위,유럽
스페인,예선 G조 1위,2017년 10월 06일,15회,2014,우승,6위,유럽
벨기에,예선 H조 1위,2017년 09월 04일,13회,2014,4위,5위,유럽
아이슬란드,예선 I조 1위,2017년 10월 09일,1회,첫 출전,-,22위,유럽
스위스,플레이오프 승리,2017년 11월 12일,11회,2014,8강,8위,유럽
크로아티아,플레이오프 승리,2017년 11월 12일,5회,2014,3위,17위,유럽
스웨덴,플레이오프 승리,2017년 11월 13일,12회,2006,준우승,18위,유럽
덴마크,플레이오프 승리,2017년 11월 14일,5회,2010,8강,12위,유럽
