메달,이름,종목,세부 종목,날짜
 금메달,임효준, 쇼트트랙,"남자 1,500m",2월 10일
 금메달,윤성빈, 스켈레톤,남자 개인,2월 16일
 금메달,최민정, 쇼트트랙,"여자1,500m",2월 17일
 금메달,김아랑 김예진 심석희 이유빈 최민정, 쇼트트랙,3000m 계주,2월 20일
 금메달,이승훈, 스피드 스케이팅,남자 매스스타트,2월 24일
 은메달,이상화, 스피드 스케이팅,여자 500m,2월 18일
 은메달,차민규, 스피드 스케이팅,남자 500m,2월 19일
 은메달,김민석 이승훈 정재원, 스피드 스케이팅,남자 팀추월,2월 21일
 은메달,황대헌, 쇼트트랙,남자 500m,2월 22일
 은메달,이상호, 스노보드,남자 평행대회전,2월 24일
 은메달,김보름, 스피드 스케이팅,여자 매스스타트,2월 24일
 은메달,김경애 김선영 김영미 김은정 김초희, 컬링,컬링 여자,2월 25일
 은메달,김동현 서영우 원윤종 전정린, 봅슬레이,남자 4인승,2월 25일
 동메달,김민석, 스피드 스케이팅,"남자 1,500m",2월 13일
 동메달,서이라, 쇼트트랙,"남자 1,000m",2월 17일
 동메달,임효준, 쇼트트랙,남자 500m,2월 22일
 동메달,김태윤, 스피드 스케이팅,남자 1000m,2월 23일
